id;name;main_activity;secondary_activities;genres;region__country;contact_information;website
2061;MOGUL MOVIES LTD. (Creative Europe MEDIA);Content creation / Production / Distribution (Production company/Content creation.); - ;Drama / Fiction / Scripted Format (Series);Europe (Finland);PL 5  | HELSINKI | 00661 | Finland;http://www.mogulmovies.com/
2062;MOJA TV; - ; - ; - ;Europe (Croatia);AURUM IZDAVASTVO  | Bistrec36,LugSamoborski | BREGANA | 10432 | Croatia; - 
2063;MOLODIST DISTRIBUTION LLC;Broadcasting platforms (TV Channel); - ;Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, Short Film, Telenovelas / Soap / Sitcom, TV Movies);Europe (Ukraine);23, Kyrylivska Str.  | KIEV | 04080 | Ukraine;http://www.1plus1.tv/
2064;MOLOT ENTERTAINMENT INC;Content creation / Production / Distribution (Production company/Content creation.); - ;"Kids & Teens (Animation); Drama / Fiction / Scripted Format (Series)";North America (Canada);5000 Yonge Str  | Ste1901 | TORONTO | ON | M2N7E9 | Canada;http://www.molotentertainment.ca/
2065;MOLOTOV;Broadcasting platforms (Cable/IP/Satellite/Mobile/OTT Operator); - ;Drama / Fiction / Scripted Format (TV Movies);Europe (France);103 rue de Grenelle  | PARIS | Ile-de-France | 75007;http://www.molotov.tv/
2066;MOMEDIA TV  LTD;Content creation / Production / Distribution (Rights Holder / Distributor); - ;"Kids & Teens (Animation, Kids Interactive, Live-Action); Docs & Factual (Arts, Music & Culture, Educational, youth oriented, Ethnology & Sociology, History & Civilisation, Lifestyle, Nature & Wildlife, Reality / Factual, Science & Knowledge, Social Responsabilities / Green); Drama / Fiction / Scripted Format (Feature Film, Series, TV Movies); Music; Gaming (Online / Mobile Games)";Europe (UK);Henry Wood House  | 2RidingHouseSt | LONDON | London | W1W7FA | UnitedKingdom;http://www.momediatv.com/
2067;MONACO MEDIAX; - ; - ; - ;Europe (Monaco);Villa le Mas  | 4BoulevardduJardinExotique | MONACO | 98000 | Monaco;http://www.monacomediax.com/
2068;MONDAY PRODUCTION AS;Content creation / Production / Distribution (Production company/Content creation.); - ;"Docs & Factual (Current Affairs, Lifestyle, Reality / Factual, Science & Knowledge); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality); Drama / Fiction / Scripted Format (Miniseries, Series); Sports";Europe (Norway);7 etg  | NydalenAllé37A | OSLO | 0484 | Norway;http://www.mondaymedia.com/
2069;MONDO TV FRANCE;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);Kids & Teens (Animation);Europe (France);52-54 rue Gerard  | PARIS | Ile-de-France | 75013;http://www.mondotv-france.com/
2070;MONDO TV IBEROAMERICA S.A.;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Production company/Content creation);Kids & Teens (Animation, Live-Action);Europe (Spain);Calle Alvarez de Baena 4, pt. 4A  | MADRID | 28006 | Spain;http://www.mondotviberoamerica.com/
2071;MONDO TV SPA;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);Kids & Teens (Animation, Live-Action);Europe (Italy);Via Brenta 11  | ROME | Lazio | 00198 | Italy;http://www.mondotv.it/
2072;MONICA CARPI TV DISTRIBUTION;Content creation / Production / Distribution (Sales Agent);Content creation / production / rights holder (Rights Holder / Distributor);"Kids & Teens (Animation, Docs for Kids, Kids Interactive, Live-Action); Docs & Factual (Archive, Arts, Music & Culture, Current Affairs, Educational, youth oriented, Ethnology & Sociology, History & Civilisation, Lifestyle, Nature & Wildlife, Reality / Factual, Science & Knowledge, Social Responsabilities / Green); Non-Scripted Formats (Factual Entertainment / Magazine); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, Telenovelas / Soap / Sitcom, TV Movies)";Europe (Italy);Via Baccio Pontelli 16  | ROME | Lazio | 00153 | Italy; - 
2073;MONITOR RADIO TV; - ; - ; - ;Europe (Italy);Via San Michele Del Carso 11  | MILAN | 20144 | Italy;http://www.monitor-radiotv.com/
2074;MONO FILM CO.,LTD;Content creation / Production / Distribution (Rights Holder / Distributor);Broadcasting platforms (TV Channel);Drama / Fiction / Scripted Format (Feature Film, Series, Short Film);Asia Pacific (Thailand);Jasmine International building, 12 floor  | 200JasmineInternationalbuilding,Chaengwattanaroad,Pakkred | NONTHABURI | 11120 | Thailand;http://www.mono-film.com/
2075;MONO MARIO;Content creation / Production / Distribution (Production company/Content creation.); - ;"Kids & Teens (Animation); Drama / Fiction / Scripted Format (Mobisode / Webisode, Series); Erotic/Adults";South & Central America (Argentina);Escalada 2400 Dormi 8  | MarinadelSol | SANFERNANDO | 1646 | Argentina;http://www.lamarito.com/mipcom
2076;MONSTER AS;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);"Docs & Factual (History & Civilisation, Reality / Factual); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality)";Europe (Norway);Molleparken 2  | PB2083Grunerlokka | OSLO | 0505 | Norway;http://www.monster.as/
2077;MONSTER ENTERTAINMENT;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);"Kids & Teens (Animation); Docs & Factual (Educational, youth oriented, Lifestyle); Music";Europe (Ireland);Rear 51 Merrion Square  | TheMonsterMews | DUBLIN | D2 | Ireland;http://www.monsterentertainment.tv/
2078;MONSTER SCRIPTED;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);Drama / Fiction / Scripted Format (Miniseries, Series);Europe (Norway);Molleparken 2  | OSLO | 0459 | Norway;http://www.monster.as/
2079;MONSTRI EHF;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Book publisher, Production company/Content creation);"Kids & Teens (Animation, Kids Interactive); Drama / Fiction / Scripted Format (Miniseries, Mobisode / Webisode, Series); Publishing (Books, IPs)";Europe (Iceland);Klukkuvellir 9  | Klukkuvellir9HAFNARFJORDUR | Gullbringusýslu | 221 | Iceland;http://www.theskrimslis.com/
2080;MONSTROU STUDIO PTE. LTD.;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);"Kids & Teens (Animation, Live-Action); Docs & Factual (Educational, youth oriented, Lifestyle, Reality / Factual); Drama / Fiction / Scripted Format (Series, TV Movies)";Asia Pacific (Singapore);33 Ubi Ave 3,  | #08-49VertexTowerA | SINGAPORE | 408868 | Singapore;http://www.monstrou.com/
2081;MONTECARLO MEDIA PRODUCTIONS;Broadcasting platforms (TV Channel);Broadcasting platforms (Cable/IP/Satellite/Mobile/OTT Operator);"Kids & Teens (Live-Action); Docs & Factual (Lifestyle, Nature & Wildlife, Reality / Factual); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, Telenovelas / Soap / Sitcom, TV Movies); Erotic/Adults; Music";Europe (Monaco);LE FORUM  | 28BoulevardPrincesseCharlotte | MONACO | 98000 | Monaco; - 
2082;MOODY STREET KIDS PTY LTD;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);"Kids & Teens (Animation); Drama / Fiction / Scripted Format (Series); Gaming (Online / Mobile Games)";Asia Pacific (Australia);Balwyn North  | 1aMoodyStreet | MELBOURNE | Victoria | 3104 | Australia;http://www.moodystreetkids.com/
2083;MOODY STUDIOS;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);"Kids & Teens (Animation, Kids Interactive); Docs & Factual (Educational, youth oriented)";North America (USA);103 Gedney Street  | NYACK | NY | 10960 | UnitedStates;http://www.moodystudios.com/
2084;MOONSHOT PICTURES;Content creation / Production / Distribution (Production company/Content creation.); - ;"Kids & Teens (Animation); Docs & Factual (Reality / Factual); Non-Scripted Formats (Reality Shows / Scripted Reality); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series)";South & Central America (Brazil);Rua Traipu  | SAOPAULO | SP | 01235000 | Brazil;http://www.moonshot.com.br/
2085;MOONSTONE ENTERTAINMENT;Content creation / Production / Distribution (Sales Agent);Content creation / production / rights holder (Production company/Content creation);Drama / Fiction / Scripted Format (Feature Film);North America (USA);PO Box 1599  | STUDIOCITY | CA | 91614 | UnitedStates;http://www.moonstonefilms.com/
2086;MOPAR MEDIA GROUP AB;Content creation / Production / Distribution (Production company/Content creation.); - ;Drama / Fiction / Scripted Format (Feature Film, Series);Europe (Sweden);Eklundavägen 7  | SALTSJ-BOO | 13244 | Sweden;http://www.roadrunner.se/
2087;MORFEUS AGENCY;Financing & supports (Advertising / Media Agency and Brands);Content creation / production / rights holder (Production company/Content creation);Drama / Fiction / Scripted Format (Miniseries, Mobisode / Webisode, Series, TV Movies);Europe (Spain);Ppal 2  | Carrerd'enSerra16 | BARCELONA | 08002 | Spain; - 
2088;MORGANE PRODUCTION;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);Docs & Factual (Arts, Music & Culture, Educational, youth oriented, History & Civilisation, Lifestyle);Europe (France);6 rue Escudier  | 92100 | BOULOGNEBILLANCOURT | Ile-de-France;http://morgane-groupe.fr/
2089;MORRIS MARKETING, INC.;Financing & supports (PR, Talent and Literary Agency); - ;"Kids & Teens (Animation); Docs & Factual (Arts, Music & Culture, Educational, youth oriented, Reality / Factual); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Miniseries, Series, TV Movies); Music";North America (USA);129 Shorecrest Circle  | HENDERSONVILLE | TN | 37075 | UnitedStates;http://www.morrispr.com/
2090;MOSCOW CITY TELEPHONE NETWORK;Broadcasting platforms (Cable/IP/Satellite/Mobile/OTT Operator); - ; - ;Europe (Russia);Bolshaya Ordynka street 25 bld 1  | MOSCOW | 119017 | RussianFederation; - 
2091;MOSKITO TELEVISION OY;Content creation / Production / Distribution (Production company/Content creation.); - ;"Docs & Factual (Lifestyle, Reality / Factual); Non-Scripted Formats (Reality Shows / Scripted Reality); Drama / Fiction / Scripted Format (Series)";Europe (Finland);Pursimiehenkatu 29-31 A  | HELSINKI | 00150 | Finland;http://www.moskito.fi/
2092;MOST FILMS;Content creation / Production / Distribution (Production company/Content creation.); - ;Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, TV Movies);North America (USA);269 S. Beverly  | Drive#1049 | BEVERLYHILLS | CA | 90212 | UnitedStates;http://www.mostfilms.biz/
